<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.09.22	6426.3490	6430.3560	6306.5080	6307.3470	82673	0	630
2024.09.23	6307.3540	6324.0640	6236.9180	6295.4300	82574	0	620
2024.09.24	6295.4350	6339.0990	6250.8640	6275.3560	82595	0	620
2024.09.25	6275.3630	6281.0800	6206.4570	6223.0720	82553	0	620
2024.09.26	6223.0820	6324.1570	6219.7970	6322.4640	82586	0	620
2024.09.27	6322.4710	6378.2190	6299.2300	6338.2890	82574	0	620
2024.09.28	6338.2990	6453.8170	6302.2180	6444.9350	82542	0	630
2024.09.29	6444.9430	6454.3020	6359.8900	6399.7860	82668	0	630
2024.09.30	6399.7910	6532.4660	6395.2380	6501.1040	82659	0	630
2024.10.01	6501.1130	6592.3620	6451.9860	6482.7640	82730	0	640
2024.10.02	6482.7740	6541.1170	6442.6210	6460.4740	82659	0	640
2024.10.03	6460.4830	6462.1200	6351.8540	6384.0640	82632	0	630
2024.10.04	6384.0780	6417.0900	6350.1030	6388.1970	82606	0	630
2024.10.05	6388.1970	6393.1240	6279.2260	6308.0660	82665	0	620
2024.10.06	6308.0720	6340.3380	6201.6490	6202.1180	82552	0	620
2024.10.07	6202.1200	6232.1440	6143.0590	6180.7530	82455	0	610
2024.10.08	6180.7650	6242.8150	6139.3080	6146.9600	82519	0	610
2024.10.09	6146.9650	6227.1120	6113.3210	6124.5430	82438	0	610
2024.10.10	6124.5570	6189.5590	6113.4710	6137.5500	82467	0	610
2024.10.11	6137.5560	6189.8220	6067.3790	6108.4210	82492	0	600
2024.10.12	6108.4290	6158.4040	6017.9350	6019.2600	82500	0	600
2024.10.13	6019.2620	6101.1920	6013.2350	6057.8120	82266	0	600
2024.10.14	6057.8190	6064.8290	5978.2630	6039.4760	82344	0	590
2024.10.15	6039.4800	6081.3730	5989.1260	5992.3320	82410	0	590
2024.10.16	5992.3360	6008.8050	5888.8740	5936.0620	82467	0	580
2024.10.17	5936.0700	6026.8920	5900.6980	6020.4150	82392	0	590
2024.10.18	6020.4220	6109.4050	5976.3870	6007.0670	82376	0	590
2024.10.19	6007.0690	6026.1180	5970.7500	5979.0660	82352	0	590
2024.10.20	5979.0840	6046.4190	5961.4720	5985.9150	82408	0	590
2024.10.21	5985.9180	6023.1040	5893.5330	5918.6600	82356	0	580
2024.10.22	5918.6610	5970.9840	5843.3940	5955.8820	82354	0	580
2024.10.23	5955.8960	6002.2230	5900.4800	5903.3140	82338	0	590
2024.10.24	5903.3150	5919.5640	5837.1080	5900.2470	82364	0	580
2024.10.25	5900.2570	5909.3630	5785.1400	5802.6970	82253	0	570
2024.10.26	5802.6970	5806.9760	5701.5630	5702.9270	82209	0	570
2024.10.27	5702.9300	5726.7950	5676.5300	5723.4210	82199	0	560
2024.10.28	5723.4270	5751.5180	5663.9120	5688.2480	82106	0	560
2024.10.29	5688.2490	5709.0670	5522.6970	5561.4250	82123	0	550
2024.10.30	5561.4260	5613.7600	5532.7080	5574.3530	82089	0	550
2024.10.31	5574.3550	5591.2600	5516.4260	5516.6660	82142	0	550
2024.11.01	5516.6710	5577.6710	5456.0850	5565.9940	82229	0	540
2024.11.02	5565.9960	5617.1410	5531.9850	5581.7920	82149	0	550
2024.11.03	5581.7990	5588.4560	5395.4560	5396.8280	81940	0	530
2024.11.04	5396.8330	5413.3080	5372.3030	5388.5020	81986	0	530
